tweets;1.kisi;2.kisi;3.kisi;total
lise öðrencileri arasýndaki siyasal kutuplaþma yaygýnlaþýyor lise öðrencileri karþýtý ifadeler kullanýyor diðer etnik gruplarý kötülüyor;0;0;0;0
liseli amerikalýlar arasýnda yükseliyor;0;0;0;0
israil baþbakaný ýrkçýlýðýný bir ortaya koydu instagramdaki paylaþýmýnda israil bütün vatandaþlarýnýn devleti deðildir yahudilerin devletidir dedi;1;1;1;1
seni flooduma ala ala yoruldum artýk almayacaðým gördüðüm tweetlerinin altýna yazmaktan geri kalmayacaðým;1;1;1;1
a göre avrupada hitlerden kadar nefret edilmesinin sebebi katlettiklerinin tamamýnýn olmasý diðerleri öldürdü asyalýlarý afrikalýlarý araplarý katlettikleri kadar tepki çekmedi;1;1;1;1
amg yerinde yapan yok akbil basmyan dilimizi konuþmayan bide utanmadan yer isteyen yüzsüz kadar;1;1;0;1
bana hesap açmadý ben yabancýyým;1;0;1;1
2024 avrupa parlamentosu seçimlerinde aþýrý saðýn ortalýðý silip süpürebileceðini kaydetti;1;0;1;1
irklara daðýlmadan dinler bizi ayýrmadan politika bizi parçalamadan para bizi sýnýflandýrmadan önce hepimiz insandik;0;0;0;0
gs dýsýndakiler canaktan yalandýlar tan ceza almadýlar söz söylemeye haklarý yok;0;0;0;0
irkçýlýða çaðýran bizden deðildir irkçýlýk davasý uðruna savaþan bizden deðildir irkçýlýk davasý uðruna ölen bizden deðildir ebû dâvûd edeb ;1;0;0;0
çaðýmýzýn sinsi hastalýðý;0;0;0;0
baþkent stockholmdeki parlamentosunun önünde ayrýmcýlýða karþý gösteri düzenlendi;1;0;0;0
11 yaþýndaki siyah bir öðrenci ayaða kalkýp abd andýný okumayý reddedince huzursuzluk çýkarma suçundan gözaltýna alýndý öðretmen çantasýndan tutup sýnýftan atmaya yeltlendiðinde okulun ýrkçý olduðunu söylemiþti;0;0;0;0
louisianada tamamýbeyazlardan oluþan bir ilkokula kabul edilerek 1960 yýlýnda abd okullarýnda ýrk ayrýmcýlýðýný yýkan ilk öðrenci olan ruby bridgese okula girerken okuldan çýkarken düzenli olarak amerikan polisleri eþtmiþtir mr pink;0;1;0;0
aymazlýk ýrkçýlýk bugün dünyanýn baþýna bela olan ölümcül sosyal hastalýklardýr;0;0;0;0
türküm dediði ermenistanda linç edilenin haber kaynaðýný bekliyorum insanlýk var olduðu sürece olacaktýr google linç yazdýgým zaman ilk çýkan haber köprüde linç edilen askerler acý deðil mi kal saðlýcakla;1;0;1;1
suriyeli yok buna göre anlamadým suriyelilere takmýþ belli berbattýr;0;0;0;0
siyahi annebebeklerin hayatýný ediyor;0;0;0;0
bizim dinimizde yoktur;0;0;0;0
dünyada büyük belalardan birisidir ýrkçýlýk insanlarýn dilleri derileri dinleri kökenleri ayrý olsa yürekleri aynýdýr;0;0;0;0
irkçýlar dindarlar seküler muhafazakar yaklaþýmlar haklar alanýnda süreci daraltýyor kimyasal bir tepkime toplumda karþýlýk buluyor;0;0;0;0
müslümanlara karþý normal hale geldi ülkede 2018de mescitlerin yüzde 59una bir þekilde saldýrý oldu;1;0;0;0
ötekileþtirme farklý olmak öteki olmak aþaðýlanmak insanlýktan çýkarýlmak kendi kendini insan ilan edenlercediðer tarafta býrakýlmak olur orasýnýn neresi olduðu önemli deðildir burasý olmadýðý kesindir;0;0;0;0
birileri ben kürdüm lazým çerkezim söylemlerinde bulunuyorlar düþünün ben gürcü yüm diyenler yönetiyor memleketi diyormuyuz ortaasya dan gelen dulkadir oðullarý soyundan türk oðlu türküz desek ýrçý oluruz deðiþtirin kafalarý artýk;0;0;0;0
bunlarýn anladýðý anlamdaki millet kavramý fransýz ihtilali birlikte ortaya çýkan zekanýn imparatorluklarýn yýkýlmasý ürettiði garabetinden ibarettir;1;1;1;1
ukrayna hava alanýnda kürt müsün yoksa türk müsün soruyorlar kürt olduðunu söyleyince geri gönderiliyorsun;0;1;1;1
irkçýlýðýn psikolojisi;1;1;1;1
vardý çoðu zaman söylediklerini anlayamayan sadece rastgele insanlardý gittiðimde duracak sadece 14 yaþýndaydý schoolgirls message before taking own life;0;0;0;0
maraþlýlarda gizli bir ýrkçýlýk var gizli dedim onlar genelde toplu halde iken çingenelik ýrkçýlýklarý tezahür ediyor bakýn memleketi övünmek deðil ilerisi diðerlerini dýþlamak unutmadan üstünlük takvadadýr;0;0;0;0
tvit altý yorumlar kýsa bir özet;1;1;1;1
irkçýlýk insanlara mahsustur sevimli canlar deðil insanlar içinde ýrkçýlýk yapmayýn;0;0;0;0
irkçýlýða gerek yok neticede herkesin sonu ayný olacak toprak;0;0;0;0
kurtuluþ savaþý gezisi 2018 33 yusuf dülger;0;0;0;0
iseniz renk coðrafyadan baðýmsýz þiddetle karþýlaþabilirsiniz þayet beyaz iseniz müslüman deðilseniz korunursunuz lakin müslüman iseniz þiddet aðýr olabilir insamer;0;0;0;0
güney afrikada laerskool anaokulunda siyahi beyaz çocuklarýn ayrý masalarda oturtulduðu görüldü olay dünyada büyük yanký uyandýrdý;0;0;0;0
ettiði cümle dogruysa in deðil nedir;0;0;0;0
radikal yerleþimciler israil bayraðýna bile iþareti çizdi israil haber yasaðý getirdi ýrkçýlar hakkýnda pek bilgi var irkçý yahudiler 5 yýl önce filistinli bir çocuðu kaçýrarak diri diri yakmýþlardý;0;0;0;0
göçmenlik tercih deðil mecburiyet;0;1;1;1
küçüken büyüklerimin kendilerine kürt yapýlan ýrkçýlýklarý dinlerek geçirdim büyüdükten sonra gördümki gerçekten can yakýyor ýrkçýlýk;0;0;0;0
irkçýlýðýn böylesi;0;0;0;0
yahu bayrak turkiyede fýrsatta standta açýldý zaman batmadý taksimi özlediniz di mi ondan;1;0;0;0
polonyalýlar türkler hakkýnda düþünüyor;0;0;0;0
türk bayraklarý meydanlarda toplanýp eðlenen yýlbaþýnda bayraklarý kutlama yapan mültecilere sosyal medyadan tepki veriyor raus dýþarý;1;1;1;1
avusturyada özgürlük partisinin söylemine cevap yine avusturya parlamentosundan geldi baðýmsýz milletvekili olan göçmenler türkler özelinde muhteþem bir konuþmaya imza attý;0;0;0;0
dt martha bissmann rt gzt avusturyada özgürlük partisinin söylemine cevap yine avusturya parlamentosundan geldi baðýmsýz milletvekili ol;1;0;0;0
ýrkçý saldýrý 4 yaralý almanyanýn kuzey ren vestfalya krv bölgesindeki sürücü aracýný bilerek yabancýlarýn üzerine sürdü;1;1;1;1
yapým aþamasýndaki camiye saldýrý almanyadaki müslümanlara yapýlan ýrkçý saldýrýlara bir yenisi eklendi duisburgda;0;0;0;0
anlamayanlar ýrkçýlýðýn basit bir açýklamasýbilmem anlatabildim mi;0;0;0;0
italya içiþleri bakanýndan þaþýrtan ýrkçýlýk açýklamasý;1;0;0;0
53 yayýnda hafta içi sabah 0815 periscope;0;0;0;0
futbolda dev proje 53 yayýnda hafta içi sabah10 dkdan kýsa seçmece güncel haberler bülteni 0815 periscope;0;0;0;0
ek olarak bkz;0;0;0;0
ronaldodan futbolda ýrkçýlýða tepki;0;0;0;0
dýþýnýz farklý olabilir ýrkcý olmayýn içimiz dýþýmýz ayný yapanlar;0;0;0;0
fake hesap olabilir olmayabilir ortaya býrakýyorum þerefsizi tehlikeli beyin hastalýðý olmalý;0;0;0;0
türlüsüne karþýyýz;0;0;0;0
türkkürtkardeþtir;0;0;0;0
türk müsünüz;0;0;0;0
zihniyete yerleþtirilen büyük yanlýþ;0;0;0;0
alcaksýnýz;0;0;0;0
ideolojik bir düþünce deðil aksine psikolojik bir hastalýktýr;0;0;0;0
ülke etnik kimliðinden dolayý öldürülmek topraklar kanla sulandý rezilliði örtecek büyüklükte bir bayrak yok utanýyorum;0;1;1;1
irkçý katilin rahatlýðýnýn nedenini ýrkçýlýða ülkenin sokaklarýnda ýrkçý cinayet iþlenebilecek kadar prim verilmesinde cezasýzlýgýn baki olmasýnda aranmalý;1;1;1;1
siyahýn beyaza beyazýn siyaha üstünlüðü yokturdiyen bir peygamberin ümmeti deðil miyiz yoksa;0;1;1;1
bak oku zaman;0;0;0;0
avrupada aþýrý saðcýlar çikolatayý boykot çaðrýsýnda bulunuyor zira berndeki toblerone fabrikasý sertifikasý aldýklarýný duyurdu afd partisi sertifikayý avrupanýn islamlaþmasý olarak nitelendirdi müslümanlar þaþkýn;1;1;1;1
bazen nefret yetersiz kalýyo sözde yetersiz kalýyo üzüntü lanet olsun hastalýðýna;0;0;0;0
mutlu türküm diyenlere sormak lazým;0;1;0;0
balotelli irkçýlýðý kabul etmiyorum kabul edilemez bana sokakta muz atarsa kiþiyi öldüreceðim hapse girerim;0;0;0;0
ulusal eylem isimli örgütün 6 üyesi hapis cezalarýna çarptýrýldý içlerinden bir çift bebeklerine adolf adýný vermiþ evi gamalý haçlarla süslemiþti ingiliz ordusunda askerdi örgüte eleman saðlamaya çalýþýyordu;1;1;1;1
pradaya irkçilik suçlamasi;0;0;0;0
yahudi asýllý amerikalý oyuncu israili yahudi devleti olarak tanýmlayan son yasayý ýrkçý olarak nitelendirdi tek kelimeyle ýrkçýdýr yanlýþ kabul etmiyorum dedi 8 ay önce hükümetinin onur ödülünü geri çevirmiþti;0;0;0;0
natalie portman israili irkçilikla suçladi;0;0;0;0
yakan ýrksal þiddet görevi kötüye kullanan polisler iþlemeyen bir adalet sistemi gerçek bir hikayenin küçük bir kesiti beðendim;0;0;0;0
insan genomunun 99u aynýdýr 1lik bir farklýlýk yapan insanlara köle muamelesi yapanlar beyinleri emekli olanlarýdýr insan sevgisi yapýlan siyaset dünyayý cennet eder evrensel insan haklarý günü kutlu olsun;0;0;0;0
siyasetimizin varlýk sebebi insan yaratýlmýþlarýn mucizevi þerefli olaný insan dini ýrký cinsiyeti yaþý olursa olsun onurludur evrensel insa haklarýna sahiptir insan genomunun 99u aynýdýr 1lik bir farklýlýk yapan;0;0;0;0
polonyanýn baþkenti varþovada müslüman bir kadýna saldýran ýrkçý mahkemeden þaþýrtan bir ceza geldi polonyada eþi benzeri görülmemiþ cezayý duyduðunuzda þaþýracaksýnýz;0;0;0;0
ingilterede bbcye ölüm tehditi içeren yüzlerce mesaj gönderilmiþ annesi siyahi olan meganla evlendiði beyaz ýrka ihanetle suçlanýyormuþ terörle mücadele þubesi tehditlerin peþine düþmüþ;0;0;0;0
kooperatifler irkçý servet eþitsizliðini ortadan kaldýrýr sosyal ekonomi;0;0;0;0
28 yýl önce bugün yaþayan angola vatandaþý neonazilerin saldýrýsý sonucunda hayatýný kaybetti baþta kiowa olmak üzere kurbanlarýný saygýyla anýyorum;0;0;0;0
bayraklýda dev buluþma;0;0;0;0
haber sörfü 36 5 aralýk 2018 yayýnda videonun tamamý;0;0;0;0
