tweets;1.kisi;2.kisi;3.kisi;total
hercai dizisi konusu nedir oyunculari kimler hercai dem;0;0;0;0
ziynet salinin arabesk sürprizi sahnelerin baþarýlý ismi ziynet sali önceki gün zorlu alýþveriþ merkezindeydi sali yeni çýkartacaðý single çalýþmasý heyecanlý olduðunu söyledi güzel þarkýcý yeni parçasýnýn arabesk;0;0;0;0
claudia fijal malibuda yürek hoplattý;0;0;0;0
sen anlat karadeniz fanlarýnýn kalbinde iþýl yücesoy yatýyor;0;0;0;0
ibrahim tatlýsesten doðum günü duygusal mesaj ünlü þarkýcý ibrahim tatlýses doðum günü duygusal bir paylaþýmda bulanarak 8 yýl önce tekrar doðdum yüce yaradan bir can baðýþladý bana kavuþturdu beni sizlere;0;0;0;0
45 aylýk hamile bengü 1 kilo eriðin 500 lira olduðunu öðrenince erik aþeremeyeceðiz diyerek þaþkýnlýðýný dile getirdi hadi karaköy;0;0;0;0
simge saðýn yýlýn pop sanatçýsý seçildi;0;0;0;0
þeyma subaþý göndermelerine devam etti þeyma subaþý acuna göndermelerine devam etti;0;1;1;1
serenay aktaþtan gönderme serenay aktaþtan eski dostlarýna eski sevgilisine gönderme;0;0;0;0
fenomen eylül öztürkün oðlu sosyal medyanýn gözdesi oldu;0;0;0;0
antares magazin yeni sayýsý yakýnda;0;0;0;0
adriana limadan metin haraya iki þart seda yeþilyurt;0;1;1;1
jennifer lopez aldatýldý;0;0;0;0
hazal kaya sözleþmesini feshetti;0;0;0;0
bengünün pahalýlýk isyaný þubat ayýnýn son günlerinde hamile olduðunu açýklayan bengüden ekonomik tablonun halini yansýtan paylaþým;0;0;0;0
sevgili zero medya ailesinin yayýný md magazinin týp bayramýna özel çýkan ilk sayýsý saðlýk çalýþanlarýmýzýn tip bayramini kutlarýz;0;0;0;0
kanal d umutlar baðladýðý dizinin fiþini çekti;1;1;1;1
demet akbaðýnýn eþi zafer çikanýn cenazesine ünlü isimler akýn etti izmirde geçirdiði trafik kazasý sonucu hayatýný kaybeden demet akbaðýn eþi zafer çika 58 sanat spor camiasýndan sayýda ismin katýldýðý cenaze töreni;0;0;0;0
þiirlerden bestelenmiþ sevilen 9 þarký;0;0;0;0
demet akbaðin eþinin cenazesinde ünlü kapma yariþi;1;1;1;1
kardashian naomi campbelli taklit ediyor kaynak mynet seda yeþilyurt;1;1;1;1
demet akbaðýn eþine son veda;1;1;1;1
demet akbag in oglu ali cika yi yilmaz erdogan teselli etti;0;1;1;1
ferhat göçer ömür gedik barýþtý kaynak hürriyet seda yeþilyurt;0;0;0;0
almeda abazi baby shower gereksiz kaynak hürriyet seda yeþilyurt;0;0;0;0
kýrmýzý magazin yeni sayýsý dopdolu içeriðiyle çýktý bayiinizden istemeyi unutmayýn;0;0;0;0
demet akbaðýn büyük aþký ali çikanýn biricik babasý iþte zafer çikanýn ailesinin özel isteði oyuncu demet akbaðýn eþi zafer çika önceki akþam geçirdiði kazada hayatýný kaybetti zafer çikanýn ölümünün ardýndan ailesi;1;0;0;0
berksan karým metresim gtgtgtgtgt;0;0;0;0
tamamen özgürüm bir cilt bakým markasý yeni ürününü düzenlediði lansmanla görücüye çýkardý markanýn yeni reklam yüzü oyuncu mine tugay oldu lansmana katýlan demet þener iki buçuk yýldýr süren boþanma sürecinin sonuçlanmasýyla;0;0;0;0
gülperi dizisinde reynmen bombasi patladi dizide rol alýyor;1;1;1;1
kardashian imajýný yeniledi;0;0;0;0
kývanç tatlýtuð yüzü olduðu mavinin yeni sezon reklam filminin tanýtýmý partiye katýldý yakýþýklý oyuncu kývanç tatlýtuð on sezondur yüzü olduðu mavinin yeni sezon reklam filminin tanýtýmý önceki akþam düzenlenen partiye;0;0;0;0
meryem dilaya yalvarýyor kuzgun 6 yeni bölüm fragmaný dizinin akþam ekranlara gelen 5 bölümünün ardýndan yayýnlandý bora babasýnýn ölümünün ardýndan büyük planlar yaparken kuzgun bunlarý görüyor kendi planýný yapýyor;0;0;0;0
editörün seçtiði haber detaylari profildeki linke tiklayabilir;0;0;0;0
haber detaylari;0;0;0;0
koray avcý istmarina avmde hayranlarýyla buluþtu sevilen þarkýcý koray avcý önceki gün istmarina avmde hayranlarýyla buluþtu yeni albümü senin deðeri sevenleri imzalayan avcý yoðun ilgiden dolayý imza;0;0;0;0
dan bilzeriandan sosyal medya yorumu;0;0;0;0
merve boluður güzelliði büyüledi;0;0;0;0
vurgun final yapýyor vurgun akþam yayýnlanacak bölümüyle final yaparak ekranlara veda ediyor henüz yayýn hayatýna yeni baþlayan vurgunun akþam 6 bölümüyle ekranlara gelecek dizinin baþrol oyuncusu erkan petekkayada dizinin;0;0;0;0
melisa aslý pamuktan gönderme;0;0;0;0
neymara þok;0;0;0;0
ünlü þarkýcýnn yeni sevgilisi þasýrtý;0;0;0;0
þeyma subaþýndan baþka gönderme;0;0;0;0
siyah inci istanbulda geçtiðimiz günlerde batmanda konser veren amerikalý siyahi þarkýcý della miles istanbula geldidevamý týklayýnýz;0;0;0;0
bergüzar korel sahneye çýktý kaynak hürriyet seda yeþilyurt;0;0;0;0
wesley sneijder hakkýnda þok iddia kaynak haber türk seda yeþilyurt;0;0;0;0
charly jordan güzelliði büyüledi;1;0;1;1
okan üniversitesi yýlýn enlerini seçti;1;1;1;1
zafer çikanýn naaþý yakýnlarýna teslim edildi izmirin güzelbahçe ilçesindeki kazada hayatýný kaybeden oyuncu demet akbaðýn eþi zafer çikanýn cenazesi otopsinin ardýndan yakýnlarýna verildi izmir aa izmirin güzelbahçe;0;0;0;0
hatice isyan etti kaynak haber türk seda yeþilyurt;0;0;0;0
yilin aþk bombasi patliyor sosyal medyada karþilikli mesajlari;1;1;1;1
show tvnin sevilen dizisi 14 mart perþembe günü yayýnlanacak olan yeni bölümü cumhurbaþkaný özel programý sebebiyle 21 marta ertelendi;0;0;0;0
bergüzar korel eþi halit ergençle yaptiði muhteþem düet istanbul province;0;0;0;0
oyuncu þoray uzun taklitleriyle güldürdü dolmabahçe sarayý;0;0;0;0
çaðla þýkelin vergide usulsüzlük yapmaktan yargýlandýðý davada yeni geliþme vergide usulsüzlük yaptýðý iddiasýyla hakkýnda dava açýlan çaðla þýkel muhasebecisi tarafýndan maðdur edildiðini söyledi mahkeme sahte faturalarýn;0;0;0;0
didem soydan a takipsizlik karari;0;0;0;0
bluzu satýþta fazla uygulamasýnda aracýlýðýyla;0;0;0;0
adaya cep telefonu sokmaya çaliþirken yakalandi acun ilicalinin güldüren itirafi;0;0;0;0
günün içinden geniþ bilgi profildeki;;0;0;0
demet akbaði kahreden haber trafik kazasinda hayatini kaybetti;0;0;0;0
ünlü oyuncunun eþi hayatýný kaybetti;0;0;0;0
istanbullu gelinde zivanadan çikaran bornozlu öpüþme sahnesi;0;0;0;0
istanbullu gelinde süreyyayý yýkan faruk özgürün öpüþme aný istanbullu gelin 76 yeni bölüm fragmaný izle istanbullu gelin 76 yeni bölüm fragmaný yayýnlandý istanbullu gelin yeni bölümde özgür faruku otelde öpüþürken gören;0;0;1;0
diriliþ ertuðrulda sandýk sýrrý nedir diriliþ ertuðrul 139 yeni bölüm 2 fragmaný izle diriliþ ertuðrul 139 yeni bölüm 2 fragmaný yayýnlandý diriliþ ertuðrul yeni bölümde moðol saldýrýlarýna karþý ertuðrul beyle ayný safta;1;0;0;0
editörün seçtiði haber detaylari profildeki;0;0;0;0
istanbullu gelin sureyya yi yikan faruk ozgur un opusm;0;0;0;0
haber channel günün özeti 12032019 salý;0;0;0;0
ihsan konuk magazin ropörtaj çananakkale;0;0;0;0
cumhurbaþkanlýðý külliyesinde konser veren ahmet özhan kulaklarýn pasýný sildi önceki akþam cumhurbaþkanlýðý külliyesinde konser veren ahmet özhan seslendirdiði ilahilerle enfes bir konsere imza attý devamý;0;0;0;0
þeyma subaþý dolabýndaki eþyalarý satýyor;0;0;0;0
alessandra ambrosiodan seksi paylaþým;0;0;0;0
ikimizin yerine anandinin acýklý sonu sizi üzecek;0;0;0;0
seda sayan izdihamý seda yeþilyurt;0;0;0;0
son dakika haberidemet akbaðýn eþi kaza geçirdi oyuncu demet akbaðýn eþi zafer çýka izmirin narlýdere ilçesi çeþme yolunda geçirdiði trafik kasasýnda yanýndaki arkadaþýyla birlikte yaralandý 9 eylül hastanesine kaldýrýlan;0;0;0;0
demet akbaðýn eþi kaza yaptý;1;1;1;1
tarýk akana 500 bin tl þoku;1;0;1;1
mercimekli borek tarifi ekonomik kolay yapimli lezzet;0;0;0;0
sanatcýlarý unutmamalýyýz;0;0;0;0
selami þahin emre kayanýn ilk albümünü ben yaptým ünlü sanatçý selami þahin yeni nesil sanatçýlardan emre kayayý beðendiðini söyleyerek emre kayanýn muazzam bir sesi var iyi yorumcu 17;1;0;1;1
ahmet kurala hapis þoku kaynak hürriyet seda yeþilyurt;0;0;0;0
jeniffer lopeze sevgilisinden darbe kaynak seda yeþilyurt;0;0;0;0
diriliþte baþrollerin deðiþmesi;0;0;0;0
zeytin yapraðý tatlý krizini önlüyor cevabý linkte;0;0;0;0
acunun eli söze kadar ulaþti;0;1;1;1
emre sertkaya kimdir emre sertkaya kimdir sorularý vatandaþlar tarafýndan merak konusu oldu ses türkiye yarýþmasýnda dikkatleri üzerine çeken birinci olan emre sertkaya ekranlara geri dönüyor iþte emre sertkaya ilgili;0;0;0;0
nike uefadan kadýn futboluna destek;0;0;0;0
oynadýklarý ilk diziyi duyunca þaþýracaðýnýz 32 ünlü oyuncu;0;0;0;0
hadiseden imalý paylaþým kaynak cnn türk seda yeþilyurt;0;0;0;0
jet sosyetenin hayranlarýný sinirlendirecek karar;0;0;0;0
hayatýmýn aþký;0;0;0;0
hayko cepkin 50 bin lira istedi kaynak hürriyet seda yeþilyurt;0;0;0;0
bikinili kizlarin olay pozlari;0;0;0;0
þarkýcý hatice defile gösterisinde çýktýðý podyumda bir anda poposunu açtý anlar kamerayla kaydedildi;0;0;0;0
ilk orijinal türk yapýmý dizisi olan yeni sezonun 26 nisan cuma günü gösterime gireceði açýklandý dizinin yeni sezonunda baþarýlý oyuncu yer alacak;0;0;0;0
hakan muhafýzýn ikinci sezonu zaman yayýn tarihi belli oldu yayýnlandýðý günden itibaren dünya çapýnda büyük ilgi gören hakan muhafýz dizisinin merakla beklenen yeni sezon tarihi belli oldu diziye ayrýca baþarýlý oyuncu engin;1;0;0;0
10 yaþýndan beri kýzlarýn üstündeyim;1;0;1;1
müslümden sonra þimdi ahmet kaya;0;0;0;0
çukurova metropol gazetesi gelin damat fashion dayde moda rüzgari;0;0;0;0
ibrahim tatlýses gelin adayý yasemin þefkatliye övgü yaðdýrdý;0;0;0;0
sinemmustafa uslu çifti ikizleri mustafa kemale kavuþtu ünlü yapýmcý mustafa uslu doðum anýnda duygu dolu anlar yaþadý;0;0;0;0
ahmet kurala þok ispat edilirse;0;0;0;0
çizgiyi fena aþti;0;0;0;0
galibiyet kutlamasý futbolcu burak yýlmaz arda turan etilerdeki bir mekanda görüntülendi urana eþi aslýhan turan doðan eþlik etti;0;0;0;0
mehmet ali erbil den iyi haber;0;0;0;0
gamze özçelik arakanli mültecileri ziyaret etti;0;0;0;0
yasak elmada yýldýza halit kemal darbesi yasak elma 37 yeni bölüm fragmaný izle yasak elma dizisinin 37 yeni bölüm fragmaný yayýnlandý yasak elma yeni bölümde kemal yýldýzdan hesap soruyor yýldýz kemal otelde buluþuyor;0;0;0;0
editörün seçtiði;0;0;0;0
çukurda uluç hain mi çýktý baykal çukur 56 son bölüm final sahnesi izle çukur dizisi 56 son bölümüyle ekrana geldi çukur son bölümde koçovalýlara ihanet eden kiþinin olduðu ortaya çýktý çukurda kýzý damlayý cumali;0;0;0;0
yasak elma dizisinde þok ayrýlýk;1;0;0;0
ses türkiye þampiyonu emre sertkaya rekortmen dizide ortaya çýktý;1;0;0;0
