tweets;1.kisi;2.kisi;3.kisi;total
geldin sözüme 30 ocakta netdde dijital platformlarda;0;0;0;0
lyrics and music ecem uzgor arranger genco arý director pozi poyraz þaroðlu coproducer burcu arý technical advisor orçun çatar;0;0;0;0
birincisiyle;0;0;0;0
itýr esen kimdir maksatbilgi forum maksatbilgi;0;0;0;0
yaktýn bizi yýktýn bizi naptýn bizeee senn iyi geceler;1;1;1;1
mesela þöyle geçsin;0;0;0;0
1932 yýlýnda miss turkey birincisi keriman halis ece piyanist model türkiyeden çýkan ilk dünya güzeli;0;0;0;0
medya âlemi banu öztürk boþandýðý 7 yýllýk kocasý hakkýnda dedi;0;0;0;0
miss turkey þevval þahin miss world 2018de ilk 30a giremeyince türkiyeyi suçladi fortunatv;1;1;0;1
cok cok guzeller dan;0;0;0;0
cok cok guzeller dan;0;0;0;0
kraliçe cri türkte;0;0;0;0
hizmette sinir tanimiyoruz resmen afiyet bal seker olsun;0;0;0;0
fotolar den demet unutmuþum;0;0;0;0
çaylar zehra dan çikolatalar ömer den davet den;0;0;0;0
hazer özlemini zehöm le gidermece;0;0;0;0
2001 miss turkey birinciliðiyle tanýdýðýmýz tuðçe kazazýn yýllar içindeki deðiþimi;0;0;0;0
müthiþ hikayesi pusat baþarýlý bir balerinken sakatlanýnca eve kapandý arkadaþlarýnýn zoruyla katýldýðý hayatýný deðiþtirdi onu ekranda görenler güzellik yarýþmasýna katýlmasý teþvik etti 2014e katýlýp 3 oldu;0;0;0;0
atvnin yeni dizisi þahin tepesinde verda karakterini canlandýran tescilli güzel aybuke pusat;0;0;0;0
miss turkey 2018 2 güzeli tara die vries 17 aralýkta miss universe kainat güzellik yarýþmasýnda ülkemizi temsil edecek baþarýlar diliyoruz;0;0;0;0
benimmm tescilli canýmmm güzelim cansu_vatansever iþten çýkar çýkmaz gelmiþ yanýma sevmem ben onu siesta korupark;0;0;0;0
hadi soralým 12bölüm konuðumuz magazin d programýnýn baþarýlý güzel sunucusu dilay korkmaz;0;0;0;0
20 finalistin yarýþtýðý miss turkey 2018in güzeli þevval þahin oldu tara madelein vries ikinci roda irmak kalkan üçüncü seçildi;0;0;0;0
1000paylaþýmým fotoðraf olsun istedim hepinize iyi geceler hazalsubasii;0;0;0;0
bampw halleriyle güzeller 41 kere maþaallah;0;0;0;0
meet turkeys new queens miss turkey world 2018 þevval þahin miss turkey universe 2018 tara madelein vries miss turkey supranational 2018 roda irmak kalkan;0;0;0;0
hande yener güzeli þevval þahinin benzerliði hande yener yarýþmaya katýlmadan birinci olmuþ hissettim biraz andýrýyoruz doktorumuz aynýdýr;0;1;1;1
hürriyet yazarýndan birincisi þevval þahine yanýt ameliyat olmasa ilk 20ye bile giremezdi;0;0;1;0
mesela yarýþmanýn adý gelin ilk üçe bakalým eðitimleri yurtdýþý 1 6 yaþýndan beri londrada 2 hollanda doðumlu 10 yaþýna kadar orada 3 lisede maltaya gitmiþ oradan italyaya genlerine etken yabancý aile baðlarýndan annebaba bahsetmiyorum bile;0;0;0;0
i kendi arkadaþlarým arasýnda düzenlesem baþarýlý bir sonuç elde ederdik;1;1;1;1
pek ilgimi ceken bir yarisma degil fakat kac gundur birinci secilen kýzýn burun estetiginin internette geyik konusu olmasi beni cok rahatsiz etti bazýlarý saðlýk sebebinden deðilse tacý geri alýnsýn demiþ öncelikle x y sebep kimseyi ilgilendirmez;1;1;0;1
miss turkey güzeli þevval þahin estetikli estetiksiz halleri;0;0;0;0
miss turkey birincisi hakkýndaki þok gerçek 4 kadýn zamaný;0;0;0;0
miss turkey birincisi þevval þahin eleþtirilere yanýt verdi bir tek burunla bitmiyor estetiksiz halimle dereceye girerdim sevvsahin;1;1;0;1
birinci belli diðer adaylarý görelim;0;0;0;0
benim birincim;0;0;0;0
miss turkey 2018 güzeli þevval þahin merak edilen sevgilisi;0;0;0;0
miss turkey 2018 güzeli þevval þahinin estetik yaptirdiði ortaya çikti skandalin ardindan tacinin geri alinip alinmayacaði tartiþiliyor;1;1;1;1
son bi kaç yýldýr 1 çýkan arkadaþlarý görünce 10 cm boyum olsaydý tiple ben býrak birincisi olmayý bile olurdum diyorum kadar egom yükseldi;1;1;1;1
2018 türkiye güzeli þevval þahinin estetiksiz hali þoke etti videonun devamý;1;1;1;1
kaldýrýlsýn yasaklansýn kadýnlarýn metalaþtýrýlmasý buna teþvik edilmesi kabul edilemez;1;1;1;1
miss turkey birincisi þevval estetikli çýktý;1;1;1;1
seneki yarýþmanýn 1sinden sonra hülya avþarýn tacý iade edilecektir umarým;1;1;1;1
yarýþmasýnda kýzlara eleþtiri yapýlýyor efendim güzel deðilmiþ umduðumuz geçmemiþ bizim ülke tarz yarýþmalar deðil çalýþmalar yapýlarak geliþir sizin gibileri yüzünden ülkenin geliþmemesine þaþmamalý;0;0;0;0
baya bildiðin estetikli kýzbunu görmemek imkansýzhayýr böyle oluyorsa herkes katýlsýn;1;1;1;1
kazananýna yok çirkin yok öyle yok böylesizin hakkýnýz var gencecik bir kýzý mutlu gününde üzmeyekazanmýþ iþte sizenehadi yol alýn;0;0;0;0
yine adý altýnda at suratlý yarýþmasý düzenlemiþsiniz tbrksss;1;1;1;1
1 olur dediklerinde ben 32;0;0;0;0
yine 20 tane güzelim kýz arasýndan çirkinlerini seçmeyi baþarmýþlar;1;1;1;1
miss turkey 1þevval þahinin muhteþem deðiþimi sevvsahin;0;0;0;0
cem yýlmazýn sunduðu shakiranýn geldiði azra akýnýn 1olduðu 2002 üzerine güzel yýllardý be;0;0;0;0
elektronik sigara uyarýsý;0;0;0;0
miss turkey 1ncisi þevval þahin;0;0;0;0
fýrtýnadan kaçan gemiler sinopun doðal limanýna sýðýndý;0;0;0;0
500 milyar dolarlýk mermer rezervi;0;0;0;0
týkla düþüncelerini yaz;0;0;0;0
ah be 6 numara bilge sana yazýk ettiler;0;0;0;0
ormina tarým;0;0;0;0
instagram hesabýmýzý takip etmeyi unutmayýn;0;0;0;0
kýrdað apart otel;0;0;0;0
eurovision þarký yarýþmasý bir müddet güzellik yarýþmasýnda katýlmamak mi lazim juri üyeleri mi deðiþmeli nedir;0;0;0;0
ankarada mobilyacilar ak partimhp;0;0;0;0
edirnede büyücü 270 bin lira dolandýrdý davasýnda beraat;0;0;0;0
minarenin yapýmý köylüyü ikiye böldü;0;0;0;0
ucuza altýn almaya çalýþan gurbetçi dolandýrýldý;0;0;0;0
bor þeker fabrikasý inþaat þirketine devrediliyor;0;0;0;0
istanbul airshow 2018 2730 eylül arasý yapýlacak;0;0;0;0
yerli tohumlara 7 yeni çeþit eklendi;0;0;0;0
borç yapýlandýrmada ikinci taksit ödemede son gün;0;0;0;0
iranlýya 2 milyon metrekare arazi 22 milyona satýldý;0;0;0;0
istanbul boðazýnda satýlýk 60 yalý;0;0;0;0
son dakika otomobil fiyatlarý etkilenecek bugünden sonra yüzde 50;0;0;0;0
nefes alma zamaný;0;0;0;0
tünel ortaköy vadisini yok edecek;0;0;0;0
pybs iokbs burslarý zaman yatacak;0;0;0;0
48 bin lira para cezasý;0;0;0;0
avrupanýn moda arama motoru glami türkiyede;0;0;0;0
miss turkey 2018 güzeli belli oldu;0;0;0;0
artýk beni jüri olarak alma zamanýnýz gelmedi mi sizcede;1;0;0;0
iþte miss turkey 2018 birincisi;0;0;0;0
kýzýn boyu uzun fiziði güzel yaþý genç baþtan aþaðý bi yapaylýk var estetikli ful makyaj sýradan bir güzellik dünya güzellik yarýþmasýnda sempatik olan etrafýna pozitif enerji yayanlar bedenini tanýyýp ona göre kýyafet seçi;1;1;1;1
þevval þahinin doðal halleri;0;0;0;0
türkiyenin yeni güzeli miss turkey 2018i þevval þahin oldu;0;0;0;0
miss turkey birincisi güzellik dýþýnda vasýflara sahipmiþtir öyle olmalý yoksa kýzý miss turkey seçsinler güzellik kavramý gerçekten göreceli;1;1;1;1
gerçi adaylara bakýnca normal bunlarýn seçilmesi yinede ilk üçte buse akar olmalýydý;0;0;1;0
ha bir yarýsmanýn adý degil olsun türkiye baglantýlarý sadece yarýsmaya katýlmak olmus;0;0;0;0
miss turkeyde torpil yoksa bende bilmiyorum;1;1;1;1
gram estetigi olan birinin yarýsmayý kazanmasýný gectim yarýsmaya katýlmasý bile yasaktý40 yýllýk kurallarý ezip gectiniz zerresi estetikli olan birini 1 yapmak torpil heryerde yýl giderek artan torpiller pes;1;1;1;1
kýz miss turkey ikinci olabiliyorsa türkiye kimse evde kalmaz;1;1;1;1
1992 türkiye güzelinin kýzý miss turkey universe seçildi torpilin gücü adýna ahahahhskfklgþh;1;1;1;1
miss turkey yýl baya hoþ kýzlar varken 1 2 yi gördükten sonra torpil sen nelere kadirsin diyorum pes;1;1;1;1
kadar danisikli dovus guzel elbiseleri yarismacinin uzerine oturabilecek potluk yapmayan elbiseleri ilk 3e giydirmislerdiger yarismacilarin kiyafetlerine rotus bile yapmamislarhele 2nin ropunde ona sorulan sorularinsan bari kadar torpil yapiyoz demez;1;1;1;1
ey gidi neydin oldunprime time televizyondanyoutubetan canlý yayýna1 saatte herþey bittibirinci 3fena deðil 2resmen anadan torpilli;1;1;1;1
lale onuk su bir kýz güzel konuþtu hala anlayamýyorum neye göre seçtiler;0;0;0;0
kýz valla burun farklýyla kazandý jüri miyop galiba;1;1;1;1
kýzlarý gördüðüm an 1 numara 1olur demiþtim yine yanýlmadým;0;0;0;0
þevval þahin 1 olmuþ jürilerin gerçekten gözü kör;1;1;1;1
güzellerin içinden çirkinini seçme yarýþmasý;1;1;1;1
kýz kesin burun farkýyla 1 oldu var baþka bir açýklamasý olamaz bunun;1;1;1;1
2 kesin torpil eski turkiye guzeli anasi kadar para yedirdi organizasyona;1;1;1;1
ohaaa kýzý birinci seçersiniz göz var nizam var be ayýp;1;1;1;1
ay resmen uyuþuk 2 oldu torpil olduðu kadar belli;1;1;1;1
net;0;0;0;0
evet gecesini yerinde canlý canlý takip edeceðim;0;0;0;0
miss turkey 2018 zaman hangi kanalda canli izle;0;0;0;0
finale 8 saat kaldý;0;0;0;0
akþam ikilemine giren maçý izlemesin hele birde diyenler takým tutmasýn zaten;0;0;0;0
akþam ikilemine giren maçý izlemesin hele birde diyenler takým tutmasýn zaten;0;0;0;0
akþam ikilemine giren maçý izlemesin hele birde diyenler takým tutmasýn zaten;0;0;0;0
avrupa standartlarýnda güzelliðin yanýnda eðitimli sanat politika sahibi kadýnlar finalist seçilirken bizim ülkemizin kýzlarý sadece majyajla güzel olursa kendilerine sorulan tcdd açýlýmýný bile bilmeyen varsa onlar seçiliyor;0;0;1;0
odun pizzadan adaylarýmýza final öncesi karbonhidrat yüklemesi;0;0;0;0
2017 güzellerinin tacý devredeceði adaylar sence olacak;0;0;0;0
mýss turkey kýzlarýndan cýkan sonuc boyu uzun olanýn aklý kýsa olurmus laf kadar yerinde olmamýþtý;1;1;1;1
bence kýzý 1nci yapalým konu kapansýn;0;0;0;0
2018 yýlý türkiye güzeli pazartesi belli olacaðýna göre eski güzellerin tam listesinin yer aldýðý floodu tekrar yayýnlayalým;0;0;0;0
bugüne kadar güzel miss turkey tartýþmasýz ecem çýrpan seviliyorsun;0;0;0;0
bugüne kadar güzel miss turkey tartýþmasýz ecem çýrpan seviliyorsun;0;0;0;0
bugüne kadar güzel miss turkey tartýþmasýz ecem çýrpan seviliyorsun;0;0;0;0
miss turkey 2018 adaylarýnýn taçlarý sene boybeyi jewellery sizce taçlarýn sahibi kimler olacak;0;0;0;0
miss turkey 2018 adaylarý açýklandý iþte miss turkey güzellik yarýþmasý finalistleri;0;0;0;0
ahmet çakar yarýn galatasarayýn kazanmasýný istemiyor þerefsiz oðlu þerefsizdir ben 6 10 14 15 18 haricindeki hanýmefendileri dereceye sokarsa þerefsiz oðlu þerefsizdir asdfashgdfajhakhfg;1;1;1;1
mermi göksu yaþ 19 boy 131 doðum yeri selçukgazi lakabý 20 lik raký;0;0;0;0
miss turkeyin finalist kýz fotolarýna baktým mayolar cidden güzel þans iþte güzelim kýzlar yanlýþ açýdan bence güzel mayolarla poz veriyor tek foto güzel anlamak zorherkes ayný model mayo ayný açýdan poz verse iyi olurdu;0;0;0;0
sizce hangisi miss turkey 2018 olacak evet söz uçar yazý kalýr misali sizden yorumlarýnýzý bekliyoruz bakalým güzelden anlýyor türkiyenin güzel kýzýný þimdiden belirleyecek yorumlarýnýzý bekliyoruz;0;0;0;0
yýl hilton hotelde gerçekleþecek miss turkey 2018 finalistleri belli oldu kampa giren 20 aday birincilik tacýný takmak mücadele edecek iþte 226 arasýndan seçilerek finale adýný yazdýran isimler;0;0;0;0
miss turkeye katýlan kýzlarý görünce kaným çekildi;1;1;1;1
adaylarýnda favorim roda irmak kalkan sonrasýnda sýrasýz olarak buse akar lale zuzanna onuk bilge uluð meltem kýrbaþ diyorum;0;0;0;0
uluslararasý gastronomi festivali gastroantep baþladý;0;0;0;0
meslek hayatýmýn zirvesindeyken ben;0;0;0;0
miss turkey 2018 güzellik yarýþmasý finalistleri belli oldu;0;0;0;0
günaydýn;0;0;0;0
miss turkey 2018 finalistleri güzel 20 aday belirlendi iþte adaylar;0;0;0;0
zorlarsam 12 kiþi beðendim güzel deðiller sorry not to sorry;1;1;1;1
miss turkey 2018 hayýrlý cumalar ali koç new yorkta fenerbahçe yeni ekonomi programýnda abdden çin 21 eylül space jam filistin miss turkey deren talu;0;0;0;0
hatunlar güzel þimdi kimse haklarýný yemesin evet 3 4 tane leþ mevcut zaman kýskanmanýn anlamý yok gayet baþarýlýlar;1;1;1;1
güzelsin cansuuuuuu;0;0;0;0
finalistleri belli oldu;0;0;0;0
önümüzdeki yaz þalvar giyip ege þivesi yapmaya çalýþan sezon dizisi köylü kýzlarý sýralý tam liste;0;0;0;0
olur bilemem benim 1 sensin net;0;0;0;0
ben kutuma gidiyorum;0;0;0;0
kadar güzel kýz varsa bulmuþ ilk 20 oluþturmuþ hangisini seçsin jüri kafayý yemeseler bari;0;0;0;0
þeyi anlarým güzel mi üretmiyor lan ülke;1;1;1;1
5 cansu 9 aylin 10 roda 13 dilara;0;0;0;0
maþallah yarýþma öncesi estetiðini yaptýrmýþ meþhur olunca eski resimleri kamuoyuna düþmese bari;1;1;1;1
