tweets;1.kisi;2.kisi;3.kisi;total
"Arkadasslarrr evlilik programý baþlamýþ ?? birazcýk reklamýný yapým sedoþumun(seda sayan)?? hele hele evde kalmadý kimsee hadi dolusun gidiyokk hadii??????

#evlilikprogramý";1;1;1;1
"Yillaaaar sonra Esra Erol izledim. Abboww memlekette ne dramlar ve fantaziler dönüyormuþ. Zamanýnda ""evin var mý, emekliliðin var mý"" diye soran teyzelerimizin olduðu evlilik programlarýni özledim. En fazla çay içiyorlardi ?? #EsraErol #evlilikprogrami";1;1;1;1
Sosyal medya fenomeni Serap Gürbüz’den öðretmenine þantaj! Þantajcý fenomene büyük þok… https://t.co/CATH5Tb4cV #evlilikprogramý #müstehcenfotoðraf #öðretmenineþantaj #Þantajcýfenomen #serapgürbüz #sosyalmedyafenomeni #tacizedenöðretmen #uygunsuziçerikligörüþme;1;1;1;1
"Kýþ yaklaþýrken az rahatlasak da doðalgazdýr, elektriktir, yakacaktýr derken pek dertlenmeyelim derken ZAM haberleri ile Mehmet Amca'mýzýn sinirleri tepesine çýkar. 

https://t.co/xrs61qfdoq

#Kanal42 #animasyon #MehmetAmca #zam #televizyon #dizi #evlilikprogramý https://t.co/PYS6dQk7p4";1;1;1;1
"Hassasiyetlerimizin dibine dinamit koyan programlar ile ilgili bakalým Mehmet Amca’mýz ne diyor.

https://t.co/29mR2AbYSr

#MehmetAmca 
#televizyon 
#dizi 
#evlilikprogramý https://t.co/IQeEDjKZIT";1;1;1;1
"Gösteriþli ama bilgisiz misin??
#kimmilyonerolmakister #güvenbana
Beceriksiz ve geveze misn??
#Yemekteyiz
Ben aslýnda bu deðilim??
#Tiktok
Cast ajansýnda mýsýn ??
#evlilikprogramý #dizi
Biraz biraz ünlü birz atletik misn???
#Survivor
1. olayým ama sanatçý olmayým??
#OsesTürkiye";1;1;1;1
yeter senlik fotolari videolari gormek istemiyorum yillardir evde yatip kismetse olur izleyen bi mal bunlari gorunce cok uzuluyo;1;1;1;1
Kendimi kýsmetse olur erhan gibi hissediyorum;0;0;0;0
ata benli þaka mý aqqqq;1;1;1;1
yazdým yazdým sildim gercekten ne denilebilir ki? nefret ediyorum böylelerinden;1;1;1;1
Kýsmetse olur gibi programlardan öteye gitmemesi gereken tiplerin kendini gazeteci olarak lanse etmes;1;1;1;1
girdim sohbet odasýna seçim hakkýndadir sandým kýsmetse olur mu yorumluyorusuuz aq salaklari;1;1;1;1
kismetse olur izlemeyen kiz djdkxkdk;0;0;0;0
Aþko bu kadar kýsmetse olur seni yormuyor mu yav;0;0;0;0
Her kufure tamamim da kismetse olur hayranligi falan ayip oluyor;1;1;1;1
Kismetse olur izleyen bir insanin dusuncelerini onemseyemicem maalesef;1;1;1;1
Önceden filmlerden dizilerden daha çok onlarýn fragmanlarýný izlemeyi severdim kýsmetse olur saðolsun artýk fragman görünce sinir seviyem yükseliyor kafayý yedirtiyorla;1;1;1;1
Kýsmetse olur Yalanýn gücü... Daha da ekleyebiliriz... Yarýþtýðý alan bu;1;1;1;1
Ahmet Fatsa maðarasýnýn yönünü karýþtýrmýþ. Yanlýþlýkla kýsmetse olur evine girmiþ;1;1;1;1
ARKADASLAR AHMETTEN COK TUGCEYE SINIR OLMAM??? GERIZEKALI YEMIN EDERIM ARKADASINI DELIRTIYOLAR OTURMUS VOV VOV YAPIYO KARAKTERSIZ;1;1;1;1
