tweets;1.kisi;2.kisi;3.kisi
"???? #ABD'de lise öðrencileri arasýndaki siyasal kutuplaþma ve #ýrkçýlýk yaygýnlaþýyor!

??Lise öðrencileri #göçmen karþýtý ifadeler kullanýyor, 

??diðer etnik gruplarý kötülüyor.

https://t.co/LoqKeeLY9l";0;0;
Liseli Amerikalýlar arasýnda #ýrkçýlýk yükseliyor https://t.co/OQZonojcZK;0;0;
"Ýsrail Baþbakaný #Netanyahu, ýrkçýlýðýný bir kez daha ortaya koydu. Instagram'daki paylaþýmýnda, ""Ýsrail bütün vatandaþlarýnýn devleti deðildir, Yahudilerin devletidir"" dedi. #Filistin #ýrkçýlýk
https://t.co/pDSRSSzycA";1;1;
@5posta seni #ýrkçýlýk flood'uma ala ala yoruldum. artýk almayacaðým ama gördüðüm tweetlerinin altýna #ýrkçýsýn #ýrkçýlýk #faþist yazmaktan da geri kalmayacaðým.;1;1;
"A.#Murray'e göre Avrupa'da Hitler'den bu kadar çok nefret edilmesinin sebebi, katlettiklerinin tamamýnýn #beyaz olmasý. Diðerleri de öldürdü ama Asyalýlarý, Afrikalýlarý ve Araplarý katlettikleri için bu kadar çok tepki çekmedi. #ýrkçýlýk
https://t.co/ikI4NQbJPs";1;1;
Amg yerinde hiç #irkcilik yapan da yok #otobuse akbil basmyan dilimizi konuþmayan  bide utanmadan yer isteyen yüzsüz #orosbu #sikeyim bu kadar #hümanist #rabianazhepaklýmda #Sivlilik #KandilinizMübarekOlsun #survivor2019;1;1;
"@garanti @GarantiyeSor #ýrkçýlýk bana hesap açmadý, Çünkü ben yabancýyým...!!!!
#Yazýklar";1;0;
"@garanti #ýrkçýlýk bana hesap açmadý, Çünkü ben yabancýyým...
#Yazýklar";1;0;
"2024 Avrupa parlamentosu seçimlerinde aþýrý saðýn ortalýðý silip süpürebileceðini kaydetti. #ýrkçýlýk
https://t.co/w3b3U3STmq";0;0;
"Irklara daðýlmadan
Dinler bizi ayýrmadan
Politika bizi parçalamadan
Para bizi sýnýflandýrmadan önce...
Hepimiz ÝNSANDIK...
#pazar #insan #insanlýk #ýrkçýlýk https://t.co/VobaiTfRAJ";0;0;
@shqipStari GS dýsýndakiler canaktan yalandýlar (#þike ve #ýrkcýlýk tan ceza almadýlar) söz söylemeye haklarý yok!;1;0;
"#Hadîs #ýrkçýlýk

“Irkçýlýða çaðýran bizden deðildir. Irkçýlýk davasý uðruna savaþan bizden deðildir. Irkçýlýk davasý uðruna ölen bizden deðildir.”

Ebû Dâvûd, Edeb, 111-112";0;0;
@GAningulusu Çaðýmýzýn en sinsi hastalýðý #ýrkçýlýk;1;0;
"Baþkent Stockholm'deki #Ýsveç Parlamentosu'nun önünde #ýrkçýlýk ve ayrýmcýlýða karþý gösteri düzenlendi.

https://t.co/UYaCqwZAgE";0;0;
"#ABD'de 11 yaþýndaki siyah bir öðrenci, ayaða kalkýp ABD andýný okumayý reddedince, huzursuzluk çýkarma suçundan gözaltýna alýndý. Öðretmen çantasýndan tutup sýnýftan atmaya yeltlendiðinde, okulun ýrkçý olduðunu söylemiþti. #and #ýrkçýlýk
https://t.co/g14c1QuoGt";0;1;
"Louisiana’da tamamý”beyazlar”dan oluþan bir ilkokula kabul edilerek 1960 yýlýnda ABD okullarýnda ýrk ayrýmcýlýðýný yýkan ilk öðrenci olan Ruby Bridges’e okula girerken ve okuldan çýkarken düzenli olarak Amerikan polisleri eþtmiþtir.
“Mr Pink”
#ýrkçýlýk #tarih #racism #rubybridges https://t.co/tbIKpADHD4";0;0;
"Aymazlýk ve ýrkçýlýk bugün dünyanýn baþýna bela olan en ölümcül sosyal hastalýklardýr.
#StanLee #ýrkçýlýk";1;0;
"@MYNiNA14 @bulentparlak Türk'üm dediði için Ermenistan'da linç edilenin haber kaynaðýný bekliyorum. Ýnsanlýk var olduðu sürece #ýrkçýlýk olacaktýr. 
Google linç yazdýgým zaman ilk çýkan haber ""köprüde linç edilen askerler"" ne acý deðil mi? Kal saðlýcakla";0;0;
Suriyeli neden yok buna göre anlamadým, ama Suriyelilere takmýþ o çok belli. #ýrkçýlýk berbattýr. https://t.co/TG5C94eP3N;0;0;
#ABD'de #ýrkçýlýk siyahi anne-bebeklerin hayatýný #tehdit ediyor https://t.co/51gMevvMON;0;0;
Bizim dinimizde #ýrkçýlýk yoktur.. https://t.co/2vrSYhU4mr;0;0;
"Dünyada ki en büyük belalardan birisidir ýrkçýlýk. Ýnsanlarýn dilleri, derileri, dinleri ve kökenleri ayrý olsa da yürekleri hep aynýdýr...
#ýrkçýlýk #dil #din #renk #ýrk #yürek #insan https://t.co/iAQa0qJR1q";0;0;
Irkçýlar, dindarlar ve seküler muhafazakar yaklaþýmlar haklar alanýnda süreci daraltýyor. Bu kimyasal bir tepkime gibi toplumda karþýlýk buluyor. #KentSiyasatÞiddetYönetmek #siyasalalan #ýrkçýlýk #dindarlýk #seküler;1;0;
#Ýsveç'te Müslümanlara karþý #ýrkçýlýk normal hale geldi - Ülkede 2018'de #cami ve mescitlerin yüzde 59'una bir þekilde saldýrý oldu. https://t.co/n8HiRG917d;0;0;
Ötekileþtirme. farklý olmak öteki olmak, aþaðýlanmak ve insanlýktan çýkarýlmak ,kendi kendini insan ilan edenlerce,diðer tarafta býrakýlmak olur. orasýnýn neresi olduðu önemli deðildir. burasý olmadýðý kesindir.#ýrkçýlýk https://t.co/sWCu8m63u6;0;0;
"Birileri, ben kürdüm, lazým, çerkezim söylemlerinde bulunuyorlar. Düþünün ben gürcü yüm diyenler yönetiyor memleketi. Biz diyormuyuz ki! OrtaAsya dan gelen, Dulkadir oðullarý soyundan Türk oðlu Türk`üz. Desek ýr?çý oluruz.! Deðiþtirin bu kafalarý artýk..!!! 
#ýrkçýlýk 
#cuma";1;1;
Bunlarýn anladýðý anlamdaki millet kavramý, Fransýz ihtilali ile birlikte ortaya çýkan ve #masonik zekanýn imparatorluklarýn yýkýlmasý için ürettiði #ýrkçýlýk garabetinden ibarettir.;0;1;
#ukrayna #ýrkçýlýk Ukrayna hava alanýnda Kürt müsün yoksa Türk müsün diye soruyorlar... Kürt olduðunu söyleyince geri gönderiliyorsun...??;1;1;
Irkçýlýðýn Psikolojisi https://t.co/dSEtY77vZc #evrim #irkçýlýk;0;0;
"“#Irkçýlýk vardý - çoðu zaman ne söylediklerini anlayamayan sadece rastgele insanlardý.” “Gittiðimde, #zorbalýk ve #ýrkçýlýk duracak” O sadece 14 Yaþýndaydý
#Perth schoolgirl’s #heartbreaking message before taking own life.#NewYears2019 https://t.co/6rIgsPOPbS";0;0;
Maraþlýlarda da gizli bir ýrkçýlýk var. Gizli dedim, çünkü onlar genelde toplu halde iken (çingenelik) bu ýrkçýlýklarý tezahür ediyor. Bakýn bu memleketi ile övünmek deðil daha ilerisi diðerlerini dýþlamak. Unutmadan, Üstünlük takvadadýr! #maraþ #asabiyet #ýrk #ýrkçýlýk #teassup;1;1;
@MetinUca #TürkSorunu #ýrkçýlýk tvit altý yorumlar kýsa bir özet..;0;0;
"Irkçýlýk insanlara mahsustur 
Bu sevimli canlar için deðil insanlar içinde ýrkçýlýk yapmayýn 
#Irkçýlýk https://t.co/rtqfcOH4h0";0;0;
Irkçýlýða hiç gerek yok çünkü neticede herkesin sonu ayný olacak (Toprak)... #irkcilik #irkci https://t.co/qS0lK2x7a7;0;0;
"Kurtuluþ Savaþý Gezisi 2018 (33) - YUSUF DÜLGER 

https://t.co/vp387fB1Bp #ýrkçýlýk #Tuerkler #Araplar #Batý https://t.co/kh0a8HUoHG";0;0;
"#Ýngiltere'de #Müslüman iseniz renk ve coðrafyadan baðýmsýz  þiddetle karþýlaþabilirsiniz. Þayet beyaz iseniz ve Müslüman deðilseniz korunursunuz. Lakin hem Müslüman hem de #siyahi iseniz þiddet daha aðýr olabilir. 
[#insamer] #Ýslamofobi #zenofobi #ýrkçýlýk
(insamer) https://t.co/WAY4fnpxUC";0;0;
"#Ýngiltere'de #Müslüman iseniz renk ve coðrafyadan baðýmsýz  þiddetle karþýlaþabilirsiniz. Þayet beyaz iseniz ve Müslüman deðilseniz korunursunuz. Lakin hem Müslüman hem de #siyahi iseniz þiddet daha aðýr olabilir. 

[#insamer] [#infografik]

#Ýslamofobi #zenofobi #ýrkçýlýk https://t.co/u0mWyhNfXj";0;0;
Güney Afrika'da, Laerskool #SchweizerReneke Anaokulu'nda siyahi ve beyaz çocuklarýn ayrý masalarda oturtulduðu görüldü. Olay tüm dünyada büyük yanký uyandýrdý. https://t.co/WAPwX33RY8 #haber @Haberler @internethaber @Haber7 @islamianalizhm #ayrýmcýlýk #ýrkçýlýk #Apartheid https://t.co/PHLtTjAlnY;0;0;
Eðer þu ettiði cümle dogruysa #MKemal in, bu #ýrkçýlýk deðil de ya nedir? https://t.co/VdLrXa6mby;0;1;
"Radikal yerleþimciler, Ýsrail bayraðýna bile #nazi iþareti çizdi. Ýsrail haber yasaðý getirdi. Bu ýrkçýlar hakkýnda pek az bilgi var. Irkçý Yahudiler 5 yýl önce de Filistinli bir çocuðu kaçýrarak diri diri yakmýþlardý. #ýrkçýlýk
https://t.co/POK6qHDrpu";0;0;
"göçmenlik tercih deðil mecburiyet
#ýrkçýlýk https://t.co/mOgZnAUMwz";0;0;
Küçüken büyüklerimin kendilerine Kürt diye yapýlan ýrkçýlýklarý dinlerek geçirdim büyüdükten sonra gördümki gerçekten can yakýyor ýrkçýlýk #Irkcýlýk;1;0;
Irkçýlýðýn böylesi @yaylabakliyat #ýrkçýlýk #racism #black #beans #Advertising https://t.co/YFW74AngEl;0;0;
Yahu o bayrak turkiyede her fýrsatta her standta açýldý o zaman niye batmadý? Taksimi özlediniz di mi? Ondan bu #ýrkçýlýk;1;1;
Polonyalýlar Türkler Hakkýnda Ne Düþünüyor? https://t.co/9WAAXiwbUS #polonya #polonyalýlar #polonlar #turistler #yerleþikyabancýlar #antalya #turizm #ülkücü #bozkurt #milliyetçilik #ýrkçýlýk #kökencilik #göktanrý #þamanizm #tarih #tarihmeraklýsýnatavsiye #türk;0;0;
"#Almanya'da Türk bayraklarý ile meydanlarda toplanýp eðlenen #Türkiyeliler de #Taksim’de yýlbaþýnda bayraklarý ile kutlama yapan #Suriyeli mültecilere sosyal medyadan tepki veriyor.

#Türken raus: #ýrkçýlýk
#Suriyeliler dýþarý: #vatanseverlik!";1;0;
"?? Avusturya'da Özgürlük Partisi'nin #ýrkçýlýk söylemine cevap yine Avusturya parlamentosundan geldi. 

Baðýmsýz milletvekili olan @MarthaBissmann göçmenler ve Türkler özelinde muhteþem bir konuþmaya imza attý. ? https://t.co/QRsmiaVm0X";1;1;
"DT Martha Bissmann: RT gzt: ? Avusturya'da Özgürlük Partisi'nin #ýrkçýlýk söylemine cevap yine Avusturya parlamentosundan geldi. 

Baðýmsýz milletvekili ol… https://t.co/uKTJpuRecw";0;0;
"#Almanya'da ýrkçý saldýrý: 4 yaralý.
Almanya'nýn Kuzey Ren Vestfalya (KRV) bölgesindeki #Bottrop'tabir sürücü, aracýný bilerek yabancýlarýn üzerine sürdü. 

https://t.co/s2GGHRYFJj
#ýrkçýlýk https://t.co/5UKAf2p3aX";0;0;
"#Almanya'da yapým aþamasýndaki camiye saldýrý.
Almanya'daki Müslümanlara yapýlan ýrkçý saldýrýlara bir yenisi daha  eklendi. Bu kez Duisburg'da.
https://t.co/jzwgG2u5nO
@AlmanyaBE #islamKorkusu #ýrkçýlýk https://t.co/E4a3n7ArcJ";1;0;
"?? Avusturya'da Özgürlük Partisi'nin #ýrkçýlýk söylemine cevap yine Avusturya parlamentosundan geldi. 

Baðýmsýz milletvekili olan @MarthaBissmann göçmenler ve Türkler özelinde çok konuþulacak bir konuþmaya imza attý. ? https://t.co/GrLoVPT8bo";0;0;
"Anlamayanlar için ýrkçýlýðýn basit bir açýklamasý.Bilmem anlatabildim mi?
#turkiye #istanbul #izmir #ankara #bursa #türkiye #adana #edirne #antalya #trabzon #rize #samsun #diyarbakýr #anlamak #yumurta #manisa #eskiþehir #kayseri #beþiktaþ #fenerbahçe #galatasaray #ts #ýrkçýlýk https://t.co/qoZL9rs8Wk";0;0;
"Ýtalya Ýçiþleri Bakaný'ndan þaþýrtan ýrkçýlýk açýklamasý 
 #Koulibaly #Napoli #seriea #Ýtalya #futbol #ýrkçýlýk #Racism #inter  
 https://t.co/DXM325BG98 https://t.co/yD5HQA7Wgh";0;0;
"53. #habersörfü yayýnda! https://t.co/1XaA6x03ft Hafta içi her sabah
08.15 Periscope #futbol #anka #cerrahpaþa #tff #tbb #isveç #kilise #inter #ýrkçýlýk #cami #kosova #fortunasittard #kruvaziyer #þeker #hastane #bae #suriye #sudan #kalidoukoulibaly #stevenzhang #almanya #müslüman https://t.co/AyeD3YgCsI";0;0;
"Futbolda dev proje • 53. #habersörfü yayýnda! https://t.co/1XaA6x03ft Hafta içi her sabah""10 dk’dan kýsa"" seçmece güncel haberler bülteni. 08.15 Periscope
#futbol #anka #cerrahpaþa #tff #tbb #isveç #kilise #inter #italya #ýrkçýlýk #ceza #cami #alikoç https://t.co/ktp4W2inPA";0;0;
@NevvalS Ek olarak bkz: #mülteciDüþmanlýðý #ýrkçýlýk #TürkSorunu;0;0;
"Ronaldo’dan futbolda ýrkçýlýða tepki 
#Ronaldo #futbol #ýrkçýlýk #tepki #Haber1461 

https://t.co/WEIJK6xvxc";0;0;
Dýþýnýz farklý olabilir ama ýrkcý olmayýn içimiz dýþýmýz ayný #olsun #ýrkcýlýk yapanlar #bizdendegildir #mardin #kürtaraptürk https://t.co/w9LTq4lGbE;0;0;
"Fake hesap olabilir, olmayabilir
Ortaya býrakýyorum þerefsizi !!
En tehlikeli beyin hastalýðý #ýrkçýlýk olmalý. https://t.co/QlqaV4c4th";0;0;
"#ýrkçýlýk 
#Kürt 
#Türk
Her türlüsüne karþýyýz!... https://t.co/EPr2uZ2iEp";0;0;
#hepimiz #türk ????#bayragýn #altýnda #yaþýyoruz #yapmayýn #böyle TÜRK,Kürt’KARDEÞTÝR  #ýrkçýlýk #yapan #kalleþtir https://t.co/UMWezz1Uer;0;0;
"@selcuksalih @AydnSelcen ""Türk müsünüz?"" 
#gen #genetik #ýrk #ýrkçýlýk 
#Türklük #Türk #Türkçülük
https://t.co/UjHxdPi4z3";0;0;
Zihniyete yerleþtirilen en büyük yanlýþ #nefret ve #ýrkçýlýk                            #EvetBendeKürdüm;0;1;
Alcaksýnýz !! #BendeKürdüm #Sakarya #utanç #ýrkçýlýk #faþist #fatihportakal;1;1;
#ýrkçýlýk ideolojik bir düþünce deðil aksine psikolojik bir hastalýktýr.;0;1;
"Bu ülke de etnik kimliðinden dolayý öldürülmek.
Bu topraklar çok kanla sulandý ama bu rezilliði örtecek büyüklükte bir bayrak yok.
Utanýyorum.

#biamag
#ýrkçýlýk https://t.co/QkzHdv2lDJ";0;0;
Irkçý katilin bu rahatlýðýnýn nedenini, ýrkçýlýða ülkenin sokaklarýnda ýrkçý cinayet iþlenebilecek kadar prim verilmesinde, cezasýzlýgýn baki olmasýnda aranmalý #ýrkçýlýk #cezasýzlýk https://t.co/59uPWJexLT;1;1;
"""Siyahýn beyaza, beyazýn siyaha üstünlüðü yoktur""diyen bir Peygamber'in ümmeti deðil miyiz yoksa? #kürdüz #ýrkçýlýk";0;0;
@delisunadeli @nishtimann Az bak oku o zaman: #TürkSorunu #ýrkçýlýk #Kürtçe;0;1;
Avrupa'da aþýrý saðcýlar, #Toblerone çikolatayý boykot çaðrýsýnda bulunuyor. Zira Bern'deki Toblerone fabrikasý, #helal sertifikasý aldýklarýný duyurdu. AfD partisi, sertifikayý Avrupa'nýn Ýslamlaþmasý olarak nitelendirdi. Müslümanlar ise þaþkýn. #ýrkçýlýk https://t.co/9diaIuIwJk;0;0;
Bazen nefret yetersiz kalýyo, sözde yetersiz kalýyo, üzüntü de lanet olsun þu #ýrkçýlýk hastalýðýna https://t.co/Mkv493LRPV;1;1;
"Ne Mutlu Türküm 
diyenlere sormak lazým...
.
.
.
#MustafaKemalAtatürk 
#Atatürk
#Andýmýz
#ýrkçýlýk
#milliyetçilik https://t.co/0bJ31FWUPl";0;0;
Balotelli: Irkçýlýðý kabul etmiyorum. Bu kabul edilemez. Eðer biri bana sokakta muz atarsa o kiþiyi öldüreceðim için hapse girerim. #Balotelli #spor #futbol #uefachampionsleague #mariobalotelli #ýrkçýlýk #siyahi #NoRacism https://t.co/0qRcEq1MD4;0;0;
"#Ýngiltere'de ""Ulusal Eylem"" isimli #neonazi örgütün 6 üyesi hapis cezalarýna çarptýrýldý. Ýçlerinden bir çift bebeklerine Adolf adýný vermiþ, evi gamalý haçlarla süslemiþti. Biri Ýngiliz ordusunda askerdi, örgüte eleman saðlamaya çalýþýyordu. #ýrkçýlýk
https://t.co/IY4GPyMbmW";0;0;
"PRADA’YA IRKÇILIK SUÇLAMASI

https://t.co/r5J0xhIljL

#prada #ýrkçýlýk #moda #haberler https://t.co/OzVwJrDyDD";0;0;
"PRADA’YA IRKÇILIK SUÇLAMASI

https://t.co/r5J0xhIljL

#prada #ýrkçýlýk #moda #haberler https://t.co/uRIYNliJby";0;0;
"Yahudi asýllý Amerikalý oyuncu #NataliePortman, Ýsrail'i Yahudi devleti olarak tanýmlayan son yasayý ýrkçý olarak nitelendirdi. ""Tek kelimeyle ýrkçýdýr. Yanlýþ ve kabul etmiyorum"" dedi. 8 ay önce de #Ýsrail hükümetinin onur ödülünü geri çevirmiþti. #ýrkçýlýk https://t.co/0TUKZkiFjr";0;0;
NATALIE PORTMAN ÝSRAÝL´Ý IRKÇILIKLA SUÇLADI https://t.co/Y59ibG9HJM #natalieportman #ýrkçýlýk #israil;0;0;
"#Detroit’i yakan ýrksal þiddet, #önyargý #ýrkçýlýk ve görevi kötüye kullanan polisler, iþlemeyen bir adalet sistemi... 

Gerçek bir hikayenin küçük bir kesiti. #Film’i beðendim.?? 

#Dram #Suç #Tarih #sinema https://t.co/Cl4tJLmint";0;0;
"Ýnsan genomunun %99'u aynýdýr %1'lik bir farklýlýk için #ýrkçýlýk yapan ve insanlara köle muamelesi yapanlar beyinleri emekli olanlarýdýr. Ýnsan sevgisi ile yapýlan siyaset Dünya'yý Cennet eder. 
#10 #Aralýk Evrensel Ýnsan Haklarý günü kutlu olsun.
#YeniDünyaPartisi https://t.co/yeNrrpYhB2";0;0;
#Ýnsan Siyasetimizin varlýk sebebi. Ýnsan yaratýlmýþlarýn en mucizevi ve þerefli olaný. Ýnsan dini ýrký cinsiyeti yaþý ne olursa olsun onurludur ve Evrensel Ýnsa haklarýna sahiptir. Ýnsan genomunun %99'u aynýdýr %1'lik bir farklýlýk için #ýrkçýlýk yapan...?? https://t.co/O3pGb3sbPy;0;0;
"Polonya’nýn Baþkenti Varþova’da Müslüman bir kadýna saldýran ýrkçý için mahkemeden þaþýrtan bir ceza geldi. Polonya’da eþi benzeri görülmemiþ cezayý duyduðunuzda siz de þaþýracaksýnýz!

#ýrkçýlýk #ýrkçý #ceza #adalet #haber #polonya #polonyadan #varþova

https://t.co/oG9aouZJVa";0;0;
"Ýngiltere'de BBC'ye #PrensHarry'ye ölüm tehditi içeren yüzlerce mesaj gönderilmiþ. Annesi siyahi olan Megan'la evlendiði için beyaz ýrka ihanetle suçlanýyormuþ. Terörle mücadele þubesi tehditlerin peþine düþmüþ... #ýrkçýlýk
https://t.co/gkt21EINWg";0;0;
"Kooperatifler Irkçý Servet Eþitsizliðini Ortadan Kaldýrýr - Sosyal Ekonomi #coops #HealthyFood #racism #Equality #project #socialeconomy #gýdakooperatifi #saðlýklýgýda #ýrkçýlýk #eþitlik #proje #SosyalEkonomi
https://t.co/Ln0VdGb2Fc";0;0;
28 yýl önce bugün, #Almanya'da yaþayan Angola vatandaþý #AmadeuAntonioKiowa, Neo-Nazilerin saldýrýsý sonucunda hayatýný kaybetti. Baþta Kiowa olmak üzere tüm #ýrkçýlýk kurbanlarýný saygýyla anýyorum. https://t.co/aohvTF7Lqj;0;0;
"Bayraklý’da dev buluþma   https://t.co/GWZLOj2GND
#Türkiyehaber #Bayraklýbelediyesi #Bayraklý #Ýzmir #HasanKarabað #Atatürk #Video #Arþiv #Spor #Yorum #News #Haber #Gündem #ýrkçýlýk #þiddetehayýr
#Sondakika #Havadurumu #Güncel #Olay #Bilgi #Egemedyagrubu #GazeteAvrasya";0;0;
